date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:39	533/533	---M--	300	error ('Multiple%20Choices')	text/html	date:Sat,%2017%20Sep%202016%2010:20:38%20GMT	http://www.hihayk.com/gladiator.html	C:/My%20Web%20Sites/webs/www.hihayk.com/gladiator.html	(from http://www.hihayk.com/)
15:50:39	84380/84380	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	C:/My%20Web%20Sites/webs/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from http://www.hihayk.com/)
15:50:40	7261/7261	---M--	200	added ('OK')	application/xml	etag:%22c053ead5-1c5d-51b41f03c1ac7%22	http://www.hihayk.com/feed.xml	C:/My%20Web%20Sites/webs/www.hihayk.com/feed.xml	(from http://www.hihayk.com/)
15:50:46	34456/34456	---M--	200	added ('OK')	text/plain	etag:%2243a844d2-8698-51b4090e8f46d%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Book.woff	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Book.woff	(from http://www.hihayk.com/css/main.css)
15:50:49	72228/72228	---M--	200	added ('OK')	image/jpeg	etag:%2243a9f195-11a24-51b40951ad7aa%22	http://www.hihayk.com/assets/images/me.jpg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/images/me.jpg	(from http://www.hihayk.com/)
15:50:51	68940/68940	---M--	200	added ('OK')	text/plain	etag:%2243a844c9-10d4c-51b4090be0bb1%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Book.otf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Book.otf	(from http://www.hihayk.com/css/main.css)
15:50:55	323330/323330	---M--	200	added ('OK')	image/svg+xml	etag:%2243a844cd-4ef02-51b4090ceb575%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Book.svg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Book.svg	(from http://www.hihayk.com/css/main.css)
15:50:55	83086/83086	---M--	200	added ('OK')	text/plain	etag:%2243a844bc-1448e-51b4090b18876%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Book.eot?	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Bookd41d.eot	(from http://www.hihayk.com/css/main.css)
15:51:03	82856/82856	---M--	200	added ('OK')	text/plain	etag:%2243a844ce-143a8-51b4090dc2311%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Book.ttf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Book.ttf	(from http://www.hihayk.com/css/main.css)
15:51:03	38512/38512	---M--	200	added ('OK')	text/plain	etag:%2243a8f62c-9670-51b40913a419b%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Medium.woff	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Medium.woff	(from http://www.hihayk.com/css/main.css)
15:51:11	406944/406944	---M--	200	added ('OK')	image/svg+xml	etag:%2243a8e762-635a0-51b4091176770%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Medium.svg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Medium.svg	(from http://www.hihayk.com/css/main.css)
15:51:12	74116/74116	---M--	200	added ('OK')	text/plain	etag:%2243a844d6-12184-51b409100261e%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Medium.otf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Medium.otf	(from http://www.hihayk.com/css/main.css)
15:51:19	38924/38924	---M--	200	added ('OK')	text/plain	etag:%2243a594d9-980c-51b4090a33077%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Bold.woff	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Bold.woff	(from http://www.hihayk.com/css/main.css)
15:51:31	74368/74368	---M--	200	added ('OK')	text/plain	etag:%2243a4a2ba-12280-51b409069b13c%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Bold.otf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Bold.otf	(from http://www.hihayk.com/css/main.css)
15:51:31	554115/554115	---M--	200	added ('OK')	image/svg+xml	etag:%2243a4a2df-87483-51b40908a39a2%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Bold.svg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Bold.svg	(from http://www.hihayk.com/css/main.css)
15:51:31	86590/86590	---M--	200	added ('OK')	text/plain	etag:%224387389f-1523e-51b40904deba1%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Bold.eot?	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Boldd41d.eot	(from http://www.hihayk.com/css/main.css)
15:51:37	86360/86360	---M--	200	added ('OK')	text/plain	etag:%2243a4a449-15158-51b4090967e5c%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Bold.ttf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Bold.ttf	(from http://www.hihayk.com/css/main.css)
15:51:38	38764/38764	---M--	200	added ('OK')	text/plain	etag:%2240fc1ef3-976c-51b40903c383b%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Black.woff	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Black.woff	(from http://www.hihayk.com/css/main.css)
15:51:48	74500/74500	---M--	200	added ('OK')	text/plain	etag:%2240b9462c-12304-51b408fa8539e%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Black.otf	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Black.otf	(from http://www.hihayk.com/css/main.css)
15:51:49	554294/554294	---M--	200	added ('OK')	image/svg+xml	etag:%2240d15119-87536-51b408fdaaeaa%22	http://www.hihayk.com/assets/fonts/circular/CircularStd-Black.svg	C:/My%20Web%20Sites/webs/www.hihayk.com/assets/fonts/circular/CircularStd-Black.svg	(from http://www.hihayk.com/css/main.css)
